CumulativeImmune,CumulativePopulation,CumulativeSick,CumulativeSusceptible,CumulativeVaccinated,ProportionImmune,ProportionSick,ProportionSusceptible,ProportionVaccinated,immunityPeriod,infectiousPeriod,socialDistancingLevels,vaccinationRate,openmole$experiment,temp
4151.4,11835.7,3673.2,3011.9,999.2,0.3506,0.3104,0.2548,0.0843,10.20633895,2.578725909,1.501505734,5.74E-01,639,0.001435708
4042.8,11458.6,3484.3,2925.8,1005.7,0.3527,0.3042,0.2557,0.0875,10.39754114,2.413316325,1.967771674,1.03E+00,648,0.002584103
4313.3,12296.8,3794.1,3134.4,1055,0.3501,0.3088,0.2561,0.0853,9.246418741,2.521213131,1.58502484,1.22E+00,542,0.003039006
4021.9,11750,3737.1,2991.8,999.2,0.342,0.3182,0.2548,0.0847,10.01207073,3.833755481,2.107620164,7.35E-01,545,0.00183785
3858.2,10930.9,3238,2818.4,1016.3,0.3529,0.2962,0.2583,0.0927,10.74899144,2.116487111,2.093791623,1.29E+00,552,0.003232211
3960.9,11565,3461.3,2964.3,1178.5,0.3423,0.2994,0.2566,0.1018,10.43299726,2.952958145,2.213491566,1.96E+00,539,0.004902248
4189.9,12111.8,3832.9,3074.3,1014.7,0.3459,0.3163,0.254,0.0836,9.595408218,3.260802196,2.513704705,7.86E-01,656,0.00196397
4256.7,12263.5,3822.6,3101.3,1082.9,0.347,0.3117,0.2533,0.0881,9.554071698,3.019251455,2.202571589,1.42E+00,663,0.003538017
4149.5,11573,3549.9,2851.6,1022,0.3584,0.3068,0.2468,0.088,10.7930572,2.831205268,2.229081722,6.54E-01,669,0.001634542
4067.1,11586.7,3475.4,3035.2,1009,0.351,0.3,0.262,0.0869,9.592988277,2.016838396,2.032573822,9.24E-01,660,0.002309569
3972.3,11298,3431.5,2925.2,969,0.3516,0.3038,0.2591,0.0857,10.17061125,2.30833118,2.340635627,6.67E-01,703,0.001667463
4400.3,12662.5,3941.9,3183.4,1136.9,0.3473,0.3114,0.2513,0.0896,9.075516834,2.947189907,1.093018563,1.74E+00,698,0.004349601
4208.3,11850.8,3603.4,2999.9,1039.2,0.355,0.304,0.2533,0.0875,10.44443725,2.205889214,1.069915204,2.61E-01,690,6.52E-04
3992.9,11493,3561.3,2934.5,1004.3,0.3471,0.3099,0.2558,0.0872,10.32202314,3.091677505,2.19256529,7.88E-01,655,0.001969221
4160.6,12013.9,3795.6,3032.4,1025.3,0.3462,0.316,0.2529,0.0853,10.13241937,3.215601081,1.660890337,3.96E-02,652,9.91E-05
3988.3,11417.8,3519.1,2930,980.4,0.3492,0.3084,0.257,0.0854,10.31428549,2.684514616,1.0826582,1.00E+00,658,0.00249948
4007,11359.5,3595.8,2784.3,972.4,0.3525,0.3165,0.2455,0.0855,10.68379298,3.619298679,1.421582119,1.76E-01,670,4.40E-04
3925.1,11150.8,3360.1,2905.4,960.2,0.3518,0.3015,0.261,0.0858,10.41164389,2.129976116,2.604431942,6.78E-01,666,0.001695189
4060.5,11952.7,3809.7,3044.4,1038.1,0.3396,0.3188,0.2551,0.0868,9.565517176,3.790865981,2.657414631,1.07E+00,684,0.002670145
